Date,Volume(Adjusted),Open,High,Low,Close,Adj Close,Volume
8/5/2019,218280.2,28987.08984,29252,28945.91016,29003.19922,29003.19922,2182802000
9/5/2019,290722.37,28839.34961,28891.10938,28281.98047,28311.07031,28311.07031,2907223700
10/5/2019,242148,28462.33984,28833.44922,28203.2207,28550.24023,28550.24023,2421480000
14/5/2019,287526.12,27951.11914,28205.96094,27925.61914,28122.01953,28122.01953,2875261200
15/5/2019,224489.01,28171.32031,28441.49023,28171.32031,28268.71094,28268.71094,2244890100
16/5/2019,237236.75,28117.48047,28379.36914,28050.7793,28275.07031,28275.07031,2372367500
17/5/2019,192218.19,28428,28428,27909.73047,27946.46094,27946.46094,1922181900
20/5/2019,226046.85,27959.23047,27999.59961,27699.23047,27787.60938,27787.60938,2260468500
21/5/2019,222918.92,27671.40039,27915.16016,27598.06055,27657.24023,27657.24023,2229189200
22/5/2019,170580.34,27753.53906,27828.81055,27640.61914,27705.93945,27705.93945,1705803400
23/5/2019,221941.6,27505.5293,27523.85938,27169.66992,27267.13086,27267.13086,2219416000
24/5/2019,167704.35,27368.67969,27457.58984,27291.93945,27353.92969,27353.92969,1677043500
27/5/2019,126425.65,27239.08008,27371.34961,27105.2207,27288.08984,27288.08984,1264256500
28/5/2019,304371.15,27274.83008,27490.55078,27230.08984,27390.81055,27390.81055,3043711500
29/5/2019,223686.9,27226.94922,27429.36914,27178.71094,27235.71094,27235.71094,2236869000
30/5/2019,188402.22,27319.25,27319.25,27020.73047,27114.88086,27114.88086,1884022200
31/5/2019,182946.59,27002.96094,27155.35938,26850.26953,26901.08984,26901.08984,1829465900
3/6/2019,171624.16,26909.71094,26968.09961,26735.48047,26893.85938,26893.85938,1716241600
4/6/2019,152766.6,26994.08008,26994.08008,26671.90039,26761.51953,26761.51953,1527666000
5/6/2019,189417.49,27116.08008,27119.48047,26803.66016,26895.43945,26895.43945,1894174900
6/6/2019,160192.65,26935.86914,26984.01953,26837.66992,26965.2793,26965.2793,1601926500
